"2742";"0001";"0B";"0";"Menu: ESN ver";"on";"off"
"2742";"0001";"0B";"2";"Menu: SMS Center";"on";"off"
"2742";"0001";"0B";"3";"Menu: Initial Setup > Language > Automatic";"on";"off"
"2742";"0001";"0C";"1";"Enables scroll missed calls when flip closed";"on";"off"
"2742";"0001";"0C";"6";"Menu: Services";"on";"off"
"2742";"0001";"0D";"7";"Menu: Bluetooth";"on";"off"
"2742";"0001";"14";"0";"Menu: My Caller ID - All Calls";"on";"off"
"2742";"0001";"14";"2";"Menu: Quick Dial (calling)";"on";"off"
"2742";"0001";"14";"3";"Custom names for Quick Dial";"on";"off"
"2742";"0001";"14";"4";"Menu: Network > Current Network";"on";"off"
"2742";"0001";"14";"7";"Menu: Network > Search Type";"on";"off"
"2742";"0001";"16";"2";"Enables PRL Status in Hidden Menu";"on";"off"
"2742";"0001";"16";"6";"Enables Loud Detail > Roam Calls";"on";"off" 
"2742";"0001";"18";"5";"Menu: WebSessions (Hidden Menu)";"on";"off"
"2742";"0001";"19";"3";"Menu: Confirmation (Browser Setup)";"on";"off"
"2742";"0001";"19";"4";"Menu: Cache Start-Up (Browser Setup)";"on";"off"
"2742";"0001";"1B";"3";"Menu: Incoming Call (MediaCenter)";"on";"off"
"2742";"0001";"1B";"6";"PIN Autoenter";"on";"off"
"2742";"0001";"1B";"7";"Menu: Initial Setup > 1-Touch Dial";"on";"off"
"2742";"0001";"1C";"0";"Menu: Preferred SIM Card";"on";"off"
"2742";"0001";"1C";"5";"Enables SMS Reply Type ";"on";"off" 
"2742";"0001";"1C";"6";"Menu: Connection (Settings)";"on";"off"
"2742";"0001";"1C";"7";"Menu: My Caller ID";"on";"off"
"2742";"0001";"1D";"3";"Motorola Animation on Startup";"on";"off"
"2742";"0001";"1D";"7";"Speakerphone Control ";"on";"off" 
"2742";"0001";"1E";"1";"Menu: Other Info > Flex Version";"on";"off"
"2742";"0001";"1E";"3";"Menu: Initial Setup > Animation";"on";"off"
"2742";"0001";"1E";"5";"Menu: Network > Set Mode > Analog Only";"on";"off"
"2742";"0001";"1E";"6";"Menu: Expire After (Messages)";"on";"off"
"2742";"0001";"1F";"0";"Menu: Call Waiting (In-Call)";"on";"off"
"2742";"0001";"1F";"4";"Dual Lines, Menu: Active Line";"on";"off"
"2742";"0001";"1F";"5";"Menu: Call Barring (Security)";"on";"off"
"2742";"0001";"20";"6";"Menu: Call Cost config";"5";"2"
"2742";"0001";"22";"6";"Vibro Rings Number";"5";"2"
"2742";"0001";"23";"2";"Menu: Transfer Call";"on";"off"
"2742";"0001";"23";"4";"Menu: Network > Roam Alert";"on";"off"
"2742";"0001";"23";"5";"Menu: Call Guard (In-Call)";"on";"off"
"2742";"0001";"23";"7";"Menu: Network > Set Mode > Scan A";"on";"off"
"2742";"0001";"24";"0";"Menu: Network > Set Mode > Scan B";"on";"off"
"2742";"0001";"24";"1";"Menu: Network > Set Mode > Automatic";"on";"off"
"2742";"0001";"24";"2";"Voice Mail on #1";"on";"off"
"2742";"0001";"28";"2";"Menu: Network > Set Mode > Automatic A";"on";"off"
"2742";"0001";"28";"3";"Menu: Network > Set Mode > Automatic B";"on";"off"
"2742";"0001";"29";"1";"Enables Keypad Lock (Clear-*)";"on";"off"
"2742";"0001";"2B";"0";"Menu 00**TESTMODE*";"on";"off"
"2742";"0001";"2B";"1";"Menu 00**TESTOFF*";"on";"off"
"2742";"0001";"2C";"4";"Menu: Roaming";"on";"off"
"2742";"0001";"2D";"0";"Menu: Network > Set Mode > Force Automatic A";"on";"off"
"2742";"0001";"2E";"4";"Menu: Network > Set Mode > No Service";"on";"off"
"2742";"0001";"2F";"1";"Menu: WebBrowser Setup";"on";"off"
"2742";"0001";"30";"5";"Menu: Quick Dial (edit)";"on";"off"
"2742";"0001";"30";"6";"Menu: Greeting (2)";"on";"off"
"2742";"0001";"30";"7";"Menu: Greeting (1)";"on";"off"
"2742";"0001";"31";"1";"Motorola Animation on Shutdown";"on";"off"
"2742";"0001";"33";"6";"Menu: Backlight (advanced/normal)";"adv";"norm"
"2742";"0001";"34";"6";"Menu: PRI Checksum (Phone Status)";"on";"off"
"2742";"0001";"37";"2";"Menu: Initial Setup > Status Light";"on";"off"
"2742";"0001";"38";"1";"Ringtone: Continental";"on";"off"
"2742";"0001";"38";"2";"Ringtone: Classic";"on";"off"
"2742";"0001";"38";"3";"Ringtone: Attention";"on";"off"
"2742";"0001";"39";"1";"Ringtone: Up-Down";"on";"off"
"2742";"0001";"39";"2";"Ringtone: Jitters";"on";"off"
"2742";"0001";"39";"3";"Ringtone: Upbeat";"on";"off"
"2742";"0001";"39";"4";"Ringtone: Espresso";"on";"off"
"2742";"0001";"39";"5";"Ringtone: Expose";"on";"off"
"2742";"0001";"39";"6";"Ringtone: Flare";"on";"off"
"2742";"0001";"39";"7";"Ringtone: Glacier";"on";"off"
"2742";"0001";"3A";"0";"Ringtone: Guitar Strings";"on";"off"
"2742";"0001";"3A";"1";"Ringtone: High Impact";"on";"off"
"2742";"0001";"3A";"2";"Ringtone: High Tide";"on";"off"
"2742";"0001";"3A";"3";"Ringtone: Higher Plane";"on";"off"
"2742";"0001";"3A";"4";"Ringtone: Jubilation";"on";"off"
"2742";"0001";"3A";"5";"Ringtone: Kaleidoscopic";"on";"off"
"2742";"0001";"3A";"6";"Ringtone: Luna";"on";"off"
"2742";"0001";"3A";"7";"Ringtone: Mania";"on";"off"
"2742";"0001";"3B";"0";"Ringtone: Moonlit-Haze";"on";"off"
"2742";"0001";"3B";"1";"Ringtone: Night Life";"on";"off"
"2742";"0001";"3B";"2";"Ringtone: Vib-Dot";"on";"off"
"2742";"0001";"3B";"3";"Ringtone: Vib-Dot-Dash";"on";"off"
"2742";"0001";"3B";"4";"Ringtone: Vib-Dash-Dot";"on";"off"
"2742";"0001";"3B";"5";"Ringtone: Vib-Dot-Dash";"on";"off"
"2742";"0001";"3B";"6";"Ringtone: Vib-Pulse";"on";"off"
"2742";"0001";"3D";"0";"Menu: Composing MMS > Reply Type";"on";"off"
"2742";"0001";"3D";"1";"Menu: Delivery Notification Menu (SMS)";"on";"off"
"2742";"0001";"3D";"3";"SMS Chars Counter (from 450 to 0)";"on";"off"
"2742";"0001";"3D";"7";"Menu: Email Gateway (SMS)";"on";"off" 
"2742";"0001";"3E";"5";"Unknown New Menu (black line)";"on";"off"
"2742";"0001";"3F";"6";"Menu: Call Barring (Outgoing)";"on";"off"
"2742";"0001";"40";"4";"Provider at 3rd line of screen from SIM card";"on";"off"
"2742";"0001";"40";"6";"Enables Alltel firmware to keep 100+ texts ";"on";"off" 
"2742";"0001";"41";"0";"Menu: Datebook (C550)";"off";"on"
"2742";"0001";"42";"0";"Menu: Initial Setup > TTY Setup";"on";"off"
"2742";"0001";"42";"5";"Menu: Other Info > ERI Version ";"on";"off"
"2742";"0001";"43";"0";"Menu: Java App Loader";"on";"off"
"2742";"0001";"43";"1";"Menu: Initial Setup > DTMF Setup";"on";"off"
"2742";"0001";"43";"4";"Menu: Network Band - Auto(C350)";"on";"off"
"2742";"0001";"43";"5";"Menu: Network Band - Auto(C550)";"on";"off"
"2742";"0001";"44";"4";"Menu: Cell Man., Net. Messaging, Field Test Status";"on";"off"
"2742";"0001";"44";"5";"Menu: Test Mode (Engineering Menu)";"on";"off"
"2742";"0001";"44";"6";"Enables Vocode > 8K (Hidden Menu)";"on";"off"
"2742";"0001";"44";"7";"Full Engineering Menu";"on";"off"
"2742";"0001";"45";"1";"Menu: Other Info > SMS,EMS,FAX Info";"on";"off" 
"2742";"0001";"45";"7";"SMS Counter from 140 to 450";"450";"140"
"2742";"0001";"46";"0";"Custom Animation on Startup (must be set in seem 0207/0209)";"on";"off"
"2742";"0001";"46";"1";"Ringtone: Scarlatti-s Sonata";"on";"off"
"2742";"0001";"47";"0";"Menu: JAVATools";"on";"off"
"2742";"0001";"47";"5";"Menu: Other Info > MP3 Ready";"on";"off"
"2742";"0001";"47";"6";"Enables EMS Messaging";"on";"off"
"2742";"0001";"48";"1";"My phone number at display";"on";"off"
"2742";"0001";"49";"5";"Delivery Report/Notification Default to NO";"off;"on"
"2742";"0001";"4A";"1";"Enables Messaging>Options>Relist ";"on";"off" 
"2742";"0001";"4B";"0";"GPS Indicator";"Crosshair";"Satellite"
"2742";"0001";"4B";"1";"Enables Create Message in Messaging";"on";"off" 
"2742";"0001";"4B";"6";"Provider in 2nd line of screen (from SIM or from network)";"SIM";"Network"
"2742";"0001";"4D";"6";"Enables Message Settings > Block Messages";"on";"off"
"2742";"0001";"51";"5";"Menu: Motomixer";"on";"off"
"2742";"0001";"51";"7";"Menu: Themes";"on";"off"
"2742";"0001";"52";"6";"Menu: AIM";"on";"off"
"2742";"0001";"53";"2";"Enables Advanced Location Menu (On and Off) Part 1";"off;"on" 
"2742";"0001";"53";"3";"Enables Advanced Loaction Menu (On and Off) Part 2";"on;"off" 
"2742";"0001";"54";"2";"Menu: Mobile QQ";"on";"off"
"2742";"0001";"55";"0";"Menu: Network Band";"on";"off"
"2742";"0001";"55";"2";"Date & Time Autoupdate";"on";"off"
"2742";"0001";"59";"6";"Disables Carrier Banner";"on";"off"
"2742";"0001";"5A";"6";"Menu: Saved Pages (Internet)";"on";"off"
"2742";"0001";"5A";"7";"Full File Access In QPST";"on";"off"
"2742";"0001";"5B";"0";"Menu: Web Summary";"on";"off"
"2742";"0001";"5B";"2";"Menu: History-1";"on";"off"
"2742";"0001";"5B";"3";"Menu: History-2";"on";"off"
"2742";"0001";"5C";"0";"Menu: Go to URL-1";"on";"off"
"2742";"0001";"5C";"1";"Menu: Go to URL-2";"on";"off"
"2742";"0001";"5C";"2";"Menu: Go to URL-3";"on";"off"
"2742";"0001";"5D";"0";"Menu: Themes ";"on";"off" 
"2742";"0001";"5D";"5";"Enables Switch Storage Device";"on";"off" 
